상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,합법인증 VOLVO 볼보 트럭 화물차 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Volvo_Trucks_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Volvo_Trucks_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728975679268m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975679268m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975679268m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975679268m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 ISUZU 이스즈 트럭 화물차 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Isuzu_truck_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Isuzu_truck_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728975618145m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975618145m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975618145m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975618145m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 스카니아 트럭 화물차 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Scania_Trucks_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Scania_Trucks_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728975400707m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975400707m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975400707m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975400707m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 MAN 만트럭 화물차 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Man_Truck_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Man_Truck_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728975318445m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975318445m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975318445m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975318445m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 타타대우 노부스 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/TataDaewoo_Novus_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/TataDaewoo_Novus_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728975174432m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975174432m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975174432m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975174432m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 타타대우 맥쎈 구쎈 더쎈 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/TataDaewoo_Maxen_Gussen_Dessen02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/TataDaewoo_Maxen_Gussen_Dessen02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728975096276m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975096276m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975096276m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728975096276m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 현대 파워트럭 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Hyundai_PowerTruck_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Hyundai_PowerTruck_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728971916959m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728971916959m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728971916959m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728971916959m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 현대 파비스 24V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Hyundai_Pavise_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Hyundai_Pavise_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/24v_40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 24V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 24V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728970992104m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728970992104m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728970992104m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728970992104m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 쉐보레 라보 다마스 12V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/backright12v40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Chevrolet_LaboDamas_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/04_backright12v40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/backright12v40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/Chevrolet_LaboDamas_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/04_backright12v40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 12V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 12V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728959481574m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728959481574m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728959481574m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728959481574m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,합법인증 KGM 토레스밴 12V LED바 뒷바퀴 차폭 경광등 (2개1세트),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/backright12v40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/KGM_TorresVan_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/04_backright12v40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/backright12v40cm60cm_01.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/KGM_TorresVan_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/LED/SSIC/04_backright12v40cm60cm_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,85000,,118999.99999999999,,,,,,,,,N,Y,T,S,,"옵션{★판매가 120,000원 이상 준수★ 12V (40cm) 2개1세트|★판매가 120,000원 이상 준수★ 12V (60cm) 2개1세트}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1728959294282m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728959294282m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728959294282m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1728959294282m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
