상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,차량용 자동차 4MATIC 포매틱 4륜 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_4matic.jpg""></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_4matic.jpg""></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1983 실버블랙|K1983 실버레드|K1983 레드블랙|K1983 블랙레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1726814326958m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1726814326958m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1726814326958m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1726814326958m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,자동차 미국 국기 엠블럼 스티커 뱃지 (지프 포드 캐딜락 테슬라 쉐보레),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_AmericaMap.jpg""></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_AmericaMap.jpg""></p></td></tr></tbody></table>
	",,,,3000,,4200.0,,,,,,,,,N,Y,T,S,,"옵션{K1955 스몰블랙|K1955 스몰블루|K1955 스몰컬러|K1955 빅 블랙 (4,000원)|K1955 빅 블루 (4,000원)|K1955 빅 컬러 (4,000원)}",,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1721102545732m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1721102545732m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1721102545732m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1721102545732m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 K5 DL3 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_DL3.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_DL3.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1912 골드|K1912 실버|K1912 블루|K1912 블랙|K1912 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/171316532036m0.jpg,https://www.kapoka.co.kr/shop/data/goods/171316532036m0.jpg,https://www.kapoka.co.kr/shop/data/goods/171316532036m0.jpg,https://www.kapoka.co.kr/shop/data/goods/171316532036m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 쏘나타 DN8 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_DN8.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_DN8.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1911 골드|K1911 실버|K1911 블루|K1911 블랙|K1911 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1713165245580m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713165245580m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713165245580m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713165245580m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 그랜저 GN7 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_GN7.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_GN7.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1910 골드|K1910 실버|K1910 블루|K1910 블랙|K1910 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1713164606161m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164606161m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164606161m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164606161m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 카니발 KA4 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_KA4.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_KA4.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1909 골드|K1909 실버|K1909 블루|K1909 블랙|K1909 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1713164521923m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164521923m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164521923m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164521923m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 쏘렌토 MQ4 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_MQ4.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_MQ4.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1908 골드|K1908 실버|K1908 블루|K1908 블랙|K1908 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1713164467505m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164467505m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164467505m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164467505m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 투싼 NX4 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_NX4.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_NX4.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1907 골드|K1907 실버|K1907 블루|K1907 블랙|K1907 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1713164402786m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164402786m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164402786m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1713164402786m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 니로 SG2 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_SG2.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_SG2.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,2500,,3500.0,,,,,,,,,N,Y,T,S,,옵션{K1906 골드|K1906 실버|K1906 블루|K1906 블랙|K1906 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/17131643298m0.jpg,https://www.kapoka.co.kr/shop/data/goods/17131643298m0.jpg,https://www.kapoka.co.kr/shop/data/goods/17131643298m0.jpg,https://www.kapoka.co.kr/shop/data/goods/17131643298m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 스포티지 NQ5 아크릴 레터링 엠블럼 스티커 뱃지,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_kapokaNQ5.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/emblem/emblem_kapokaNQ5.jpg""></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/JQ1KSDAD22A"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p>

<p align=""center""><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/bHpg9NTPh18"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe></p></td></tr></tbody></table>
	",,,,3000,,4200.0,,,,,,,,,N,Y,T,S,,옵션{K1244 골드|K1244 실버|K1244 블루|K1244 블랙|K1244 레드},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1689238855450m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1689238855450m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1689238855450m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1689238855450m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
