상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,현대 2024년형 더뉴팰리세이드 강화 스마트키케이스 키홀더 HSH1,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/palisade2022.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/palisade2022.jpg""></p><br></td></tr></tbody></table>
	",,,,7000,,12600.0,,,,,,,,,N,Y,T,S,,옵션{K1391 5버튼/01.케이스레드+버튼블랙|K1391 5버튼/02.케이스레드+버튼레드|K1391 5버튼/03.케이스레드+버튼블루|K1391 5버튼/04.케이스블루+버튼블랙|K1391 5버튼/05.케이스블루+버튼레드|K1391 5버튼/06.케이스블루+버튼블루|K1391 5버튼/07.케이스블랙+버튼블랙|K1391 5버튼/08.케이스블랙+버튼레드|K1391 5버튼/09.케이스블랙+버튼블루|K1391 5버튼/10.케이스카본+버튼블랙|K1391 5버튼/11.케이스카본+버튼레드|K1391 5버튼/12.케이스카본+버튼블루|K1391 7버튼/02.케이스레드+버튼레드|K1391 7버튼/03.케이스레드+버튼블루|K1391 7버튼/05.케이스블루+버튼레드|K1391 7버튼/06.케이스블루+버튼블루|K1391 7버튼/08.케이스블랙+버튼레드|K1391 7버튼/09.케이스블랙+버튼블루|K1391 7버튼/11.케이스카본+버튼레드|K1391 7버튼/12.케이스카본+버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1692709277000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1692709277000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1692709277000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1692709277000_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 카니발 KA4 4세대 하이리무진 (2021~2024년형) 강화 스마트키케이스 (HSK4),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/KIA_HSK4.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/KIA_HSK4.jpg""></p><br>
</td></tr></tbody></table>
	",,,,6000,,10800.0,,,,,,,,,N,Y,T,S,,옵션{K1210 5버튼일체형/케이스블루_버튼레드|K1210 5버튼일체형/케이스블루_버튼블루|K1210 5버튼일체형/케이스블랙_버튼레드|K1210 5버튼일체형/케이스블랙_버튼블루|K1210 7버튼오픈형/케이스레드_버튼블랙|K1210 7버튼오픈형/케이스레드_버튼레드|K1210 7버튼오픈형/케이스레드_버튼블루|K1210 7버튼오픈형/케이스블루_버튼블랙|K1210 7버튼오픈형/케이스블루_버튼레드|K1210 7버튼오픈형/케이스블루_버튼블루|K1210 7버튼오픈형/케이스블랙_버튼블랙|K1210 7버튼오픈형/케이스블랙_버튼레드|K1210 7버튼오픈형/케이스블랙_버튼블루|K1210 7버튼오픈형/케이스카본_버튼블랙|K1210 7버튼오픈형/케이스카본_버튼레드|K1210 7버튼오픈형/케이스카본_버튼블루|K1210 7버튼일체형/케이스레드_버튼블랙|K1210 7버튼일체형/케이스레드_버튼레드|K1210 7버튼일체형/케이스레드_버튼블루|K1210 7버튼일체형/케이스블루_버튼블랙|K1210 7버튼일체형/케이스블루_버튼레드|K1210 7버튼일체형/케이스블루_버튼블루|K1210 7버튼일체형/케이스블랙_버튼블랙|K1210 7버튼일체형/케이스블랙_버튼레드|K1210 7버튼일체형/케이스블랙_버튼블루|K1210 7버튼일체형/케이스카본_버튼블랙|K1210 7버튼일체형/케이스카본_버튼레드|K1210 7버튼일체형/케이스카본_버튼블루|K1210 9버튼일체형/케이스레드_버튼블랙|K1210 9버튼일체형/케이스레드_버튼레드|K1210 9버튼일체형/케이스레드_버튼블루|K1210 9버튼일체형/케이스블루_버튼블랙|K1210 9버튼일체형/케이스블루_버튼레드|K1210 9버튼일체형/케이스블루_버튼블루|K1210 9버튼일체형/케이스블랙_버튼블랙|K1210 9버튼일체형/케이스블랙_버튼레드|K1210 9버튼일체형/케이스블랙_버튼블루|K1210 9버튼일체형/케이스카본_버튼블랙|K1210 9버튼일체형/케이스카본_버튼레드|K1210 9버튼일체형/케이스카본_버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1686663519000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1686663519000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1686663519000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1686663519000_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,렉스턴 뉴 아레나 2023년형 5버튼 실리콘 스마트키케이스,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/info_01.jpg""></p>

 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/Silicon/Ssangyong5.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""><img src=""http://kapoka.godohosting.com/info_01.jpg""></p>

 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/Silicon/Ssangyong5.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,,,1500,,2700.0,,,,,,,,,N,Y,T,S,,옵션{K1143 쌍용5버튼키케이스/화이트|K1143 쌍용5버튼키케이스/옐로우|K1143 쌍용5버튼키케이스/그린|K1143 쌍용5버튼키케이스/퍼플|K1143 쌍용5버튼키케이스/핑크|K1143 쌍용5버튼키케이스/레드|K1143 쌍용5버튼키케이스/블루|K1143 쌍용5버튼키케이스/블랙|K1143 쌍용키링/블랙|K1143 쌍용키링/화이트},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1683640357000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1683640357000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1683640357000_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1683640357000_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 스포티지 NQ5 2023년형 강화 스마트키케이스 키홀더 (일체형),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/KIANowLogoHSK1.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/KIANowLogoHSK1.jpg""></p><br></td></tr></tbody></table>
	",,,,7000,,12600.0,,,,,,,,,N,Y,T,S,,옵션{K812 5버튼/케이스블루_버튼레드|K812 5버튼/케이스블루_버튼블루|K812 5버튼/케이스블랙_버튼레드|K812 5버튼/케이스블랙_버튼블루|K812 7버튼/케이스레드_버튼블랙|K812 7버튼/케이스레드_버튼레드|K812 7버튼/케이스레드_버튼블루|K812 7버튼/케이스블루_버튼블랙|K812 7버튼/케이스블루_버튼레드|K812 7버튼/케이스블루_버튼블루|K812 7버튼/케이스블랙_버튼블랙|K812 7버튼/케이스블랙_버튼레드|K812 7버튼/케이스블랙_버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1658843091006_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658843091006_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658843091006_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658843091006_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 투싼 NX4 2023년형 플라스틱 강화 스마트키케이스 키홀더 HSHI,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/hyundai457.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/hyundai457.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br></td></tr></tbody></table>
	",,,,7000,,12600.0,,,,,,,,,N,Y,T,S,,옵션{K801 01.4버튼/01.케이스레드+버튼블랙|K801 01.4버튼/02.케이스레드+버튼레드|K801 01.4버튼/03.케이스레드+버튼블루|K801 01.4버튼/04.케이스블루+버튼블랙|K801 01.4버튼/05.케이스블루+버튼레드|K801 01.4버튼/06.케이스블루+버튼블루|K801 01.4버튼/07.케이스블랙+버튼블랙|K801 01.4버튼/08.케이스블랙+버튼레드|K801 01.4버튼/09.케이스블랙+버튼블루|K801 01.4버튼/10.케이스카본+버튼블랙|K801 01.4버튼/11.케이스카본+버튼레드|K801 01.4버튼/12.케이스카본+버튼블루|K801 02.5버튼/01.케이스레드+버튼블랙|K801 02.5버튼/02.케이스레드+버튼레드|K801 02.5버튼/03.케이스레드+버튼블루|K801 02.5버튼/04.케이스블루+버튼블랙|K801 02.5버튼/05.케이스블루+버튼레드|K801 02.5버튼/06.케이스블루+버튼블루|K801 02.5버튼/07.케이스블랙+버튼블랙|K801 02.5버튼/08.케이스블랙+버튼레드|K801 02.5버튼/09.케이스블랙+버튼블루|K801 02.5버튼/10.케이스카본+버튼블랙|K801 02.5버튼/11.케이스카본+버튼레드|K801 02.5버튼/12.케이스카본+버튼블루|K801 03.7버튼/02.케이스레드+버튼레드|K801 03.7버튼/03.케이스레드+버튼블루|K801 03.7버튼/05.케이스블루+버튼레드|K801 03.7버튼/06.케이스블루+버튼블루|K801 03.7버튼/08.케이스블랙+버튼레드|K801 03.7버튼/09.케이스블랙+버튼블루|K801 03.7버튼/11.케이스카본+버튼레드|K801 03.7버튼/12.케이스카본+버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1658842270003_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658842270003_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658842270003_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658842270003_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 쏘나타 소나타 2023년형 5버튼 7버튼 강화 스마트키케이스 키홀더 HSH1,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/hyundai457.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br>
</td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/hyundai457.jpg""></p><br>

<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_02.jpg""></p><br>
<p align=""center""><img src=""http://kapoka.godohosting.com/off/img_03.jpg""></p><br>
</td></tr></tbody></table>
	",,,,7000,,12600.0,,,,,,,,,N,Y,T,S,,옵션{K793 01.4버튼/01.케이스레드+버튼블랙|K793 01.4버튼/02.케이스레드+버튼레드|K793 01.4버튼/03.케이스레드+버튼블루|K793 01.4버튼/04.케이스블루+버튼블랙|K793 01.4버튼/05.케이스블루+버튼레드|K793 01.4버튼/06.케이스블루+버튼블루|K793 01.4버튼/07.케이스블랙+버튼블랙|K793 01.4버튼/08.케이스블랙+버튼레드|K793 01.4버튼/09.케이스블랙+버튼블루|K793 01.4버튼/10.케이스카본+버튼블랙|K793 01.4버튼/11.케이스카본+버튼레드|K793 01.4버튼/12.케이스카본+버튼블루|K793 02.5버튼/01.케이스레드+버튼블랙|K793 02.5버튼/02.케이스레드+버튼레드|K793 02.5버튼/03.케이스레드+버튼블루|K793 02.5버튼/04.케이스블루+버튼블랙|K793 02.5버튼/05.케이스블루+버튼레드|K793 02.5버튼/06.케이스블루+버튼블루|K793 02.5버튼/07.케이스블랙+버튼블랙|K793 02.5버튼/08.케이스블랙+버튼레드|K793 02.5버튼/09.케이스블랙+버튼블루|K793 02.5버튼/10.케이스카본+버튼블랙|K793 02.5버튼/11.케이스카본+버튼레드|K793 02.5버튼/12.케이스카본+버튼블루|K793 03.7버튼/02.케이스레드+버튼레드|K793 03.7버튼/03.케이스레드+버튼블루|K793 03.7버튼/05.케이스블루+버튼레드|K793 03.7버튼/06.케이스블루+버튼블루|K793 03.7버튼/08.케이스블랙+버튼레드|K793 03.7버튼/09.케이스블랙+버튼블루|K793 03.7버튼/11.케이스카본+버튼레드|K793 03.7버튼/12.케이스카본+버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1658841592003_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658841592003_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658841592003_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658841592003_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,기아 더뉴셀토스 2023년형 강화 스마트키 케이스 (일체형),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/KIANowLogoHSK1.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/KIANowLogoHSK1.jpg""></p><br></td></tr></tbody></table>
	",,,,7000,,12600.0,,,,,,,,,N,Y,T,S,,옵션{K779 5버튼/케이스블루_버튼레드|K779 5버튼/케이스블루_버튼블루|K779 5버튼/케이스블랙_버튼레드|K779 5버튼/케이스블랙_버튼블루|K779 7버튼/케이스레드_버튼블랙|K779 7버튼/케이스레드_버튼레드|K779 7버튼/케이스레드_버튼블루|K779 7버튼/케이스블루_버튼블랙|K779 7버튼/케이스블루_버튼레드|K779 7버튼/케이스블루_버튼블루|K779 7버튼/케이스블랙_버튼블랙|K779 7버튼/케이스블랙_버튼레드|K779 7버튼/케이스블랙_버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1658840654004_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658840654004_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658840654004_m.jpg,https://www.kapoka.co.kr/shop/data/goods/1658840654004_m.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,현대 더뉴팰리세이드 2022년형 강화 스마트키케이스 키홀더 HSH1,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/palisade2022.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	 <p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/plastic/palisade2022.jpg""></p><br></td></tr></tbody></table>
	",,,,7000,,12600.0,,,,,,,,,N,Y,T,S,,옵션{K757 5버튼/01.케이스레드+버튼블랙|K757 5버튼/02.케이스레드+버튼레드|K757 5버튼/03.케이스레드+버튼블루|K757 5버튼/04.케이스블루+버튼블랙|K757 5버튼/05.케이스블루+버튼레드|K757 5버튼/06.케이스블루+버튼블루|K757 5버튼/07.케이스블랙+버튼블랙|K757 5버튼/08.케이스블랙+버튼레드|K757 5버튼/09.케이스블랙+버튼블루|K757 5버튼/10.케이스카본+버튼블랙|K757 5버튼/11.케이스카본+버튼레드|K757 5버튼/12.케이스카본+버튼블루|K757 7버튼/02.케이스레드+버튼레드|K757 7버튼/03.케이스레드+버튼블루|K757 7버튼/05.케이스블루+버튼레드|K757 7버튼/06.케이스블루+버튼블루|K757 7버튼/08.케이스블랙+버튼레드|K757 7버튼/09.케이스블랙+버튼블루|K757 7버튼/11.케이스카본+버튼레드|K757 7버튼/12.케이스카본+버튼블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1656059054690m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1656059054690m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1656059054690m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1656059054690m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,벤츠 뉴S클래스 실리콘 스마트키케이스 (마이바흐 포함),,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/Smartkey_BenzNew_S_class.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/Smartkey_BenzNew_S_class.jpg""></p><br></td></tr></tbody></table>
	",,,,2500,,4500.0,,,,,,,,,N,Y,T,S,,옵션{K641 레드|K641 핑크|K641 옐로우|K641 블루},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1644482941145m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1644482941145m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1644482941145m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1644482941145m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,폭스바겐 골프 8세대 실리콘 스마트키케이스,,,,,,,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/Smartkey_golf8.jpg""></p><br></td></tr></tbody></table>
	",,"<table width=""100%"" cellpadding=""0"" cellspacing=""0"">
	<tbody><tr><td>
	<p align=""center""> <img src=""http://kapoka.godohosting.com/Smartcase/Smartkey_golf8.jpg""></p><br></td></tr></tbody></table>
	",,,,1500,,2700.0,,,,,,,,,N,Y,T,S,,옵션{K640 레드|K640 연핑크|K640 옐로우|K640 블루|K640 화이트},,,,,,,,,,https://www.kapoka.co.kr/shop/data/goods/1644395170675m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1644395170675m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1644395170675m0.jpg,https://www.kapoka.co.kr/shop/data/goods/1644395170675m0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
