상품코드,자체 상품코드,진열상태,판매상태,상품분류 번호,상품분류 신상품영역,상품분류 추천상품영역,상품명,영문 상품명,상품명(관리용),공급사 상품명,모델명,상품 요약설명,상품 간략설명,상품 상세설명,모바일 상품 상세설명 설정,모바일 상품 상세설명,검색어설정,과세구분,소비자가,공급가,상품가,판매가,판매가 대체문구 사용,판매가 대체문구,주문수량 제한 기준,최소 주문수량(이상),최대 주문수량(이하),적립금,적립금 구분,공통이벤트 정보,성인인증,옵션사용,품목 구성방식,옵션 표시방식,옵션세트명,옵션입력,옵션 스타일,버튼이미지 설정,색상 설정,필수여부,품절표시 문구,추가입력옵션,추가입력옵션 명칭,추가입력옵션 선택/필수여부,입력글자수(자),이미지등록(상세),이미지등록(목록),이미지등록(작은목록),이미지등록(축소),이미지등록(추가),제조사,공급사,브랜드,트렌드,자체분류 코드,제조일자,출시일자,유효기간 사용여부,유효기간,원산지,상품부피(cm),상품결제안내,상품배송안내,교환/반품안내,서비스문의/안내,배송정보,배송방법,국내/해외배송,배송지역,배송비 선결제 설정,배송기간,배송비 구분,배송비입력,스토어픽업 설정,상품 전체중량(kg),HS코드,상품 구분(해외통관),상품소재,영문 상품소재(해외통관),옷감(해외통관),검색엔진최적화(SEO) 검색엔진 노출 설정,검색엔진최적화(SEO) Title,검색엔진최적화(SEO) Author,검색엔진최적화(SEO) Description,검색엔진최적화(SEO) Keywords,검색엔진최적화(SEO) 상품 이미지 Alt 텍스트,개별결제수단설정,상품배송유형 코드,메모
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 트렁크 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_trunk.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_trunk.jpg"">",,,,27000,,48600.0,,,,,,,,,N,Y,T,S,,옵션{가솔린/디젤|하이브리드/LPG},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/93cd14d72d38457e936eda97216bdfd0.jpg,https://www.zbcrew.com/web/product/big/202501/93cd14d72d38457e936eda97216bdfd0.jpg,https://www.zbcrew.com/web/product/big/202501/93cd14d72d38457e936eda97216bdfd0.jpg,https://www.zbcrew.com/web/product/big/202501/93cd14d72d38457e936eda97216bdfd0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 콘솔 후면 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_console.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_console.jpg"">",,,,15000,,27000.0,,,,,,,,,N,Y,T,S,,옵션{더뉴 스포티지 NQ5 페이스리프트 콘솔 후면 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/d26b6b416354b30aec7f78e954854aa6.jpg,https://www.zbcrew.com/web/product/big/202501/d26b6b416354b30aec7f78e954854aa6.jpg,https://www.zbcrew.com/web/product/big/202501/d26b6b416354b30aec7f78e954854aa6.jpg,https://www.zbcrew.com/web/product/big/202501/d26b6b416354b30aec7f78e954854aa6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 카울 사이드 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_cowlside.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_cowlside.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{더뉴 스포티지 NQ5 페이스리프트 카울 사이드 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/c04eda088ef137be1deaf98f698614d4.jpg,https://www.zbcrew.com/web/product/big/202501/c04eda088ef137be1deaf98f698614d4.jpg,https://www.zbcrew.com/web/product/big/202501/c04eda088ef137be1deaf98f698614d4.jpg,https://www.zbcrew.com/web/product/big/202501/c04eda088ef137be1deaf98f698614d4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 안전벨트 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_safetybelt.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_safetybelt.jpg"">",,,,23000,,41400.0,,,,,,,,,N,Y,T,S,,옵션{더뉴 스포티지 NQ5 페이스리프트 안전벨트 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/c5a498eb5026a88473dce9bbf177946e.jpg,https://www.zbcrew.com/web/product/big/202501/c5a498eb5026a88473dce9bbf177946e.jpg,https://www.zbcrew.com/web/product/big/202501/c5a498eb5026a88473dce9bbf177946e.jpg,https://www.zbcrew.com/web/product/big/202501/c5a498eb5026a88473dce9bbf177946e.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 시트 후면 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_seatback.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_seatback.jpg"">",,,,30000,,54000.0,,,,,,,,,N,Y,T,S,,"옵션{포켓유-기본형 (-11,000원)|포켓유-미니포켓형 (-11,000원)|포켓유-프리미엄형}",,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/f0d3377f2b238d1b97bf4766955e5e48.jpg,https://www.zbcrew.com/web/product/big/202501/f0d3377f2b238d1b97bf4766955e5e48.jpg,https://www.zbcrew.com/web/product/big/202501/f0d3377f2b238d1b97bf4766955e5e48.jpg,https://www.zbcrew.com/web/product/big/202501/f0d3377f2b238d1b97bf4766955e5e48.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 시트 사이드 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_seatside.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_seatside.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{시트사이드(자동+자동)},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/b4e2f3ea497312655739a5b0b2970a8c.jpg,https://www.zbcrew.com/web/product/big/202501/b4e2f3ea497312655739a5b0b2970a8c.jpg,https://www.zbcrew.com/web/product/big/202501/b4e2f3ea497312655739a5b0b2970a8c.jpg,https://www.zbcrew.com/web/product/big/202501/b4e2f3ea497312655739a5b0b2970a8c.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 도어 스텝 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_doorstep.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_doorstep.jpg"">",,,,12000,,21600.0,,,,,,,,,N,Y,T,S,,옵션{가솔린/디젤|하이브리드|LPG},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/62d86c0ede4d8eaf0c64cd9baa8a2461.jpg,https://www.zbcrew.com/web/product/big/202501/62d86c0ede4d8eaf0c64cd9baa8a2461.jpg,https://www.zbcrew.com/web/product/big/202501/62d86c0ede4d8eaf0c64cd9baa8a2461.jpg,https://www.zbcrew.com/web/product/big/202501/62d86c0ede4d8eaf0c64cd9baa8a2461.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 도어 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_door.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_door.jpg"">",,,,25000,,45000.0,,,,,,,,,N,Y,T,S,,옵션{더뉴 스포티지 NQ5 페이스리프트 도어 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/c2a7acb16b0a73fa189af0665858e7e0.jpg,https://www.zbcrew.com/web/product/big/202501/c2a7acb16b0a73fa189af0665858e7e0.jpg,https://www.zbcrew.com/web/product/big/202501/c2a7acb16b0a73fa189af0665858e7e0.jpg,https://www.zbcrew.com/web/product/big/202501/c2a7acb16b0a73fa189af0665858e7e0.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 기어 사이드 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_gearside.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_gearside.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{더뉴 스포티지 NQ5 페이스리프트 기어 사이드 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/1fa4c95cb9ace1a2c9e5e77e1f48bcc6.jpg,https://www.zbcrew.com/web/product/big/202501/1fa4c95cb9ace1a2c9e5e77e1f48bcc6.jpg,https://www.zbcrew.com/web/product/big/202501/1fa4c95cb9ace1a2c9e5e77e1f48bcc6.jpg,https://www.zbcrew.com/web/product/big/202501/1fa4c95cb9ace1a2c9e5e77e1f48bcc6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 글러브박스 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_glovebox.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_glovebox.jpg"">",,,,12000,,21600.0,,,,,,,,,N,Y,T,S,,옵션{더뉴 스포티지 NQ5 페이스리프트 글러브박스 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/bf8874b459605d2f760c8a918e0073f5.jpg,https://www.zbcrew.com/web/product/big/202501/bf8874b459605d2f760c8a918e0073f5.jpg,https://www.zbcrew.com/web/product/big/202501/bf8874b459605d2f760c8a918e0073f5.jpg,https://www.zbcrew.com/web/product/big/202501/bf8874b459605d2f760c8a918e0073f5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,더뉴 스포티지 NQ5 페이스리프트 트렁크 스텝 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_trunkstep.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/thenew_sportagenq5_fl/zb_safetycover_tnsportagenq5_fl_trunkstep.jpg"">",,,,9000,,16200.0,,,,,,,,,N,Y,T,S,,옵션{트렁크스텝(공용)|트렁크스텝 상단(LPG만)},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/7be9dd76bacf5c0a0f10dad426e65c77.jpg,https://www.zbcrew.com/web/product/big/202501/7be9dd76bacf5c0a0f10dad426e65c77.jpg,https://www.zbcrew.com/web/product/big/202501/7be9dd76bacf5c0a0f10dad426e65c77.jpg,https://www.zbcrew.com/web/product/big/202501/7be9dd76bacf5c0a0f10dad426e65c77.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,제네시스 GV80 페이스리프트 기어 박스 하단 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{제네시스 GV80 페이스리프트 기어 박스 하단 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/0abe0c553fc072f4cbaa58170dd3cf7f.jpg,https://www.zbcrew.com/web/product/big/202501/0abe0c553fc072f4cbaa58170dd3cf7f.jpg,https://www.zbcrew.com/web/product/big/202501/0abe0c553fc072f4cbaa58170dd3cf7f.jpg,https://www.zbcrew.com/web/product/big/202501/0abe0c553fc072f4cbaa58170dd3cf7f.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,제네시스 GV80 페이스리프트 트렁크 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg"">",,,,27000,,48600.0,,,,,,,,,N,Y,T,S,,옵션{GV80 FL(2023~/쿠페장착불가)},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/49048ab4a65c01d3e8f94b7bfa708df5.jpg,https://www.zbcrew.com/web/product/big/202501/49048ab4a65c01d3e8f94b7bfa708df5.jpg,https://www.zbcrew.com/web/product/big/202501/49048ab4a65c01d3e8f94b7bfa708df5.jpg,https://www.zbcrew.com/web/product/big/202501/49048ab4a65c01d3e8f94b7bfa708df5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,제네시스 GV80 페이스리프트 핸들 하단 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{제네시스 GV80 페이스리프트 핸들 하단 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/f669c3b8737eb6c16d444cc5b17d3645.jpg,https://www.zbcrew.com/web/product/big/202501/f669c3b8737eb6c16d444cc5b17d3645.jpg,https://www.zbcrew.com/web/product/big/202501/f669c3b8737eb6c16d444cc5b17d3645.jpg,https://www.zbcrew.com/web/product/big/202501/f669c3b8737eb6c16d444cc5b17d3645.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,제네시스 GV80 페이스리프트 시트 사이드 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{1열(A)자동+자동/에르고 무+무|1열(B)자동+자동/에르고 유+무|1열(C)자동+자동/에르고 유+유|2열-자동+자동/전동시트 무|2열-자동+자동/전동시트 유},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/47916603eab583a1eb29cd26316ca70a.jpg,https://www.zbcrew.com/web/product/big/202501/47916603eab583a1eb29cd26316ca70a.jpg,https://www.zbcrew.com/web/product/big/202501/47916603eab583a1eb29cd26316ca70a.jpg,https://www.zbcrew.com/web/product/big/202501/47916603eab583a1eb29cd26316ca70a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,제네시스 GV80 페이스리프트 시트 후면 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg"">",,,,15000,,27000.0,,,,,,,,,N,Y,T,S,,옵션{제네시스 GV80 페이스리프트 시트 후면 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/378f2811c7e50d5e8aeb6fceef657db6.jpg,https://www.zbcrew.com/web/product/big/202501/378f2811c7e50d5e8aeb6fceef657db6.jpg,https://www.zbcrew.com/web/product/big/202501/378f2811c7e50d5e8aeb6fceef657db6.jpg,https://www.zbcrew.com/web/product/big/202501/378f2811c7e50d5e8aeb6fceef657db6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,Y,,,,제네시스 GV80 페이스리프트 카울사이드 펠트 커버 스크래치 방지,,,,,,,"<center><img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg""></center>",,"<img alt="""" src=""//paddock168.cafe24.com/zb/zb_felt_guard/gv80fl/gv80fl_notice.png""><img alt="""" src=""//paddock168.cafe24.com/paddock/end.jpg"">",,,,20000,,36000.0,,,,,,,,,N,Y,T,S,,옵션{제네시스 GV80 페이스리프트 카울사이드 펠트 커버 스크래치 방지},,,,,,,,,,https://www.zbcrew.com/web/product/big/202501/e1903f6cb19f73f5d1479d2b8d6afa3a.jpg,https://www.zbcrew.com/web/product/big/202501/e1903f6cb19f73f5d1479d2b8d6afa3a.jpg,https://www.zbcrew.com/web/product/big/202501/e1903f6cb19f73f5d1479d2b8d6afa3a.jpg,https://www.zbcrew.com/web/product/big/202501/e1903f6cb19f73f5d1479d2b8d6afa3a.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
